RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
165,Miles McBrideNY,PG,68,19.5,8.3,3,6.7,45.2,1.6,3.9,41,0.6,0.7,86,1.5,1.7,0.7,0.1,0.4,0,0
166,Marcus SasserDET,G,71,19,8.3,3.1,7.2,42.8,1.3,3.4,37.5,0.8,0.9,87.9,1.8,3.3,0.6,0.2,1.3,1,0
167,Isaiah JoeOKC,SG,78,18.5,8.2,2.8,6.2,45.8,1.9,4.5,41.6,0.6,0.7,86.5,2.3,1.3,0.6,0.3,0.6,0,0
168,Kyle LowryMIA/PHI,PG,60,28.2,8.1,2.7,6.3,43.2,1.6,4.2,39.2,1.1,1.3,84,3.2,4.2,1,0.4,1.4,3,0
169,Walker KesslerUTAH,C,64,23.3,8.1,3.6,5.5,65.4,0.1,0.3,21.1,0.9,1.5,60.2,7.5,0.9,0.5,2.4,1,7,0
170,Moses MoodyGS,SG,66,17.5,8.1,2.9,6.4,46.2,1.1,3,36,1.1,1.4,78.5,3,0.9,0.6,0.4,0.7,0,0
171,Dario SaricGS,PF,64,17.2,8,2.8,6.1,46.6,1.2,3.1,37.6,1.2,1.5,84.9,4.4,2.3,0.5,0.2,1.2,2,0
172,Nickeil Alexander-WalkerMIN,SG,82,23.4,8,2.9,6.6,43.9,1.6,4.1,39.1,0.6,0.8,80,2,2.5,0.8,0.5,0.9,0,0
173,Sam MerrillCLE,SG,61,17.5,8,2.6,6.4,40.2,2.3,5.8,40.4,0.4,0.5,92.9,2,1.8,0.3,0.1,0.3,0,0
174,Trayce Jackson-DavisGS,F,68,16.6,7.9,3.4,4.9,70.2,0,0,0,1.1,1.9,56.1,5,1.2,0.4,1.1,0.7,6,0
175,Jordan HawkinsNO,G,67,17.3,7.8,2.6,6.8,38.2,1.6,4.4,36.6,1,1.2,83.8,2.2,1,0.3,0.1,0.6,0,0
176,Isaiah HartensteinNY,C,75,25.3,7.8,3.1,4.9,64.4,0,0,33.3,1.5,2.1,70.7,8.3,2.5,1.2,1.1,1.2,10,0
177,Royce O'NealeBKN/PHX,PF,79,24.7,7.7,2.7,6.8,39.7,2,5.3,37,0.3,0.4,68.6,4.8,2.8,0.7,0.6,0.9,4,0
178,Precious AchiuwaTOR/NY,PF,74,21.9,7.6,3.2,6.3,50.1,0.4,1.3,26.8,0.9,1.5,61.6,6.6,1.3,0.6,0.9,1.1,9,0
179,Toumani CamaraPOR,F,70,24.8,7.5,2.8,6.3,45,0.8,2.5,33.7,1.1,1.4,75.8,4.9,1.2,0.9,0.5,1.2,2,0
180,Cameron PayneMIL/PHI,PG,78,16.7,7.4,2.7,6.2,43.2,1.3,3.4,39,0.7,0.9,86.6,1.5,2.6,0.5,0.1,0.8,1,0
181,Paul ReedPHI,F,82,19.4,7.3,3.2,5.9,54,0.3,0.7,36.8,0.7,1,71.8,6,1.3,0.8,1,0.8,8,0
181,Christian BraunDEN,G,82,20.2,7.3,2.7,5.9,46,0.8,2,38.4,1.1,1.6,69.4,3.7,1.6,0.5,0.4,0.7,2,0
183,Jaden HardyDAL,G,73,13.5,7.3,2.7,6.6,40.7,1.1,3.1,36.2,0.8,1,77.6,1.8,1.5,0.3,0.1,0.8,0,0
184,Trey LylesSAC,PF,58,20,7.2,2.5,5.5,44.5,1.4,3.8,38.4,0.8,1.2,70,4.4,1.2,0.3,0.3,0.7,1,0
185,James WisemanDET,C,63,17.3,7.1,3,4.8,61.3,0,0,0,1.1,1.6,70.6,5.3,0.9,0.2,0.6,1,7,0
186,Naji MarshallNO,SF,66,19,7.1,2.6,5.6,46.3,0.9,2.3,38.7,1,1.3,79.1,3.6,1.9,0.7,0.2,1,0,0
187,Vasilije MicicOKC/CHA,G,60,19.6,7,2.7,6.2,43,0.7,2.6,27.9,1,1.3,81.3,1.5,4.4,0.5,0.1,1.7,4,0
188,Aaron WigginsOKC,SG,78,15.7,6.9,2.7,4.8,56.2,0.8,1.6,49.2,0.7,0.9,78.9,2.4,1.1,0.7,0.2,0.7,0,0
189,Trendon WatfordBKN,PF,63,13.6,6.9,2.6,4.9,52.7,0.4,1.1,39.7,1.2,1.5,79.4,3.1,1.3,0.4,0.3,1,1,0
190,Cason WallaceOKC,G,82,20.6,6.8,2.6,5.4,49.1,1.2,2.9,41.9,0.4,0.5,78.4,2.3,1.5,0.9,0.5,0.5,0,0
191,Julian ChampagnieSA,F,74,19.8,6.8,2.2,5.4,40.8,1.4,3.7,36.5,1,1.2,81.5,2.8,1.4,0.6,0.6,0.8,0,0
192,Day'Ron SharpeBKN,C,61,15.1,6.8,2.8,4.8,57.1,0.1,0.2,26.7,1.2,2,61,6.4,1.4,0.4,0.7,1.1,6,0
193,Cedi OsmanSA,SF,72,17.6,6.8,2.6,5.3,47.9,1.2,3.1,38.9,0.5,0.7,67.3,2.5,1.7,0.5,0.2,0.7,0,0
194,Jonathan IsaacORL,PF,58,15.8,6.8,2.5,4.9,51,0.7,1.9,37.5,1,1.4,72,4.5,0.5,0.7,1.2,0.5,0,0
195,Peyton WatsonDEN,F,80,18.6,6.7,2.6,5.6,46.5,0.6,1.9,29.6,0.9,1.3,67,3.2,1.1,0.5,1.1,0.7,0,0
196,Amir CoffeyLAC,SG,70,20.9,6.6,2.4,5,47.2,1,2.6,38,0.9,1,85.9,2.1,1.1,0.6,0.2,0.5,1,0
197,Aaron HolidayHOU,G,78,16.3,6.6,2.4,5.3,44.6,1.1,2.8,38.7,0.7,0.8,92.1,1.6,1.8,0.5,0.1,0.7,0,0
198,David RoddyMEM/PHX,F,65,18.1,6.5,2.5,6.3,40.3,0.7,2.5,29.3,0.7,1,69.1,3.2,1.2,0.4,0.2,0.9,0,0
199,Jeff GreenHOU,PF,78,16.8,6.5,2.1,4.7,45.6,0.7,2.1,33.1,1.6,1.9,81.9,2.3,0.9,0.2,0.4,0.6,0,0
200,Kyle AndersonMIN,SF,79,22.6,6.4,2.5,5.5,46,0.1,0.6,22.9,1.2,1.7,70.8,3.5,4.2,0.9,0.6,1.2,0,0
201,Isaiah JacksonIND,SF,60,12.9,6.4,2.6,3.9,66.5,0,0.1,0,1.2,1.7,71.6,4,0.8,0.6,1,0.7,4,0
202,Daniel TheisIND/LAC,C,60,16.9,6.3,2.6,4.9,53.2,0.4,1.2,36.6,0.6,0.8,76,4.1,1,0.4,0.9,0.7,1,0
203,Patrick BeverleyMIL/PHI,PG,73,20,6.2,2.2,5.2,41.7,0.8,2.5,33.7,1,1.2,82.2,3.3,2.9,0.6,0.4,0.9,2,0
204,Haywood HighsmithMIA,F,66,20.7,6.1,2.3,5,46.5,1.2,2.9,39.6,0.3,0.5,63.9,3.2,1.1,0.8,0.5,0.5,0,0
205,Kris MurrayPOR,F,62,21.7,6.1,2.3,5.9,39.6,0.8,3,26.8,0.6,0.9,66.1,3.6,1.3,0.9,0.3,0.9,1,0
206,Ochai AgbajiUTAH/TOR,G,78,21.1,5.8,2.3,5.6,41.1,0.8,2.7,29.4,0.5,0.7,66.1,2.8,1.1,0.6,0.6,0.8,0,0
207,Dyson DanielsNO,G,61,22.3,5.8,2.3,5.1,44.7,0.7,2.2,31.1,0.6,0.9,64.2,3.9,2.7,1.4,0.4,1,1,0
208,Larry Nance Jr.NO,PF,61,19.9,5.7,2.3,4,57.3,0.4,1.1,41.5,0.8,1,77,5,1.9,1,0.3,0.8,2,0
209,Pat ConnaughtonMIL,SG,76,22.1,5.6,2,4.6,43.5,1.1,3.1,34.5,0.6,0.8,75.9,3.1,2.1,0.5,0.3,0.6,0,0
210,Malachi FlynnTOR/NY/DET,PG,69,12.7,5.5,2,4.7,41.8,0.8,2.4,33.1,0.8,1,73.2,1.7,1.9,0.6,0.1,0.9,0,0
211,Doug McDermottIND/SA,SF,64,14.1,5.5,1.9,4.4,43.3,1.5,3.6,41,0.2,0.3,57.9,0.9,1.1,0.3,0,0.4,0,0
212,Matisse ThybullePOR,SG,65,22.9,5.4,1.9,4.9,39.7,1.2,3.6,34.6,0.3,0.4,75.9,2.1,1.4,1.7,0.8,0.6,0,0
213,Kris DunnUTAH,G,66,18.9,5.4,2.2,4.7,47,0.6,1.7,36.9,0.3,0.5,68.8,2.9,3.8,1,0.4,1.2,1,0
214,Nicolas BatumLAC/PHI,PF,60,25.5,5.3,1.9,4.3,45.3,1.2,3.1,39.5,0.3,0.4,71.4,4.1,2.1,0.8,0.6,0.7,0,0
215,Luke KornetBOS,C,63,15.6,5.3,2.3,3.2,70,0,0,100,0.8,0.9,90.7,4.1,1.1,0.4,1,0.3,1,0
216,Davion MitchellSAC,PG,72,15.3,5.3,2,4.5,45.2,0.8,2.2,36.1,0.4,0.6,71.4,1.3,1.9,0.2,0,0.6,0,0
217,Bryce McGowensCHA,G,59,14.9,5.1,1.7,3.9,43.9,0.6,1.7,33.3,1.1,1.4,77.6,1.7,0.9,0.4,0.2,0.5,0,0
218,Drew EubanksPHX,PF,75,15.6,5.1,2,3.4,60.1,0,0,100,1,1.2,77.4,4.3,0.8,0.4,0.8,0.8,0,0
219,Goga BitadzeORL,C,62,15.4,5,2,3.4,60.3,0,0.2,14.3,0.9,1.4,65.5,4.6,1.3,0.5,1.2,0.7,5,0
220,Jevon CarterCHI,PG,72,13.9,5,1.9,5.1,37.8,1.1,3.3,32.9,0.1,0.1,57.1,0.8,1.3,0.5,0.2,0.5,1,0
221,Garrison MathewsATL,SG,66,15,4.9,1.6,3.4,45.6,1.3,2.9,44,0.5,0.6,81,1.4,0.6,0.3,0.1,0.3,0,0
222,Kenrich WilliamsOKC,SF,69,14.9,4.7,1.9,4.1,46.8,0.8,2,39.7,0.1,0.2,50,3,1.3,0.6,0.1,0.5,0,0
223,Josh OkogiePHX,SF,60,16,4.6,1.4,3.4,41.7,0.5,1.6,30.9,1.3,1.7,74.5,2.6,1.1,0.8,0.4,0.6,0,0
224,Anthony BlackORL,G,69,16.9,4.6,1.7,3.6,46.6,0.5,1.4,39.4,0.7,1.2,61.3,2,1.3,0.5,0.3,0.8,0,0
225,Kevon LooneyGS,F,74,16.1,4.5,1.9,3.1,59.7,0,0,0,0.8,1.1,67.5,5.7,1.8,0.4,0.4,0.7,1,0
226,Blake WesleySA,G,61,14.4,4.4,1.7,3.5,47.4,0.2,0.9,21.8,0.9,1.3,66.7,1.5,2.7,0.5,0.1,0.9,0,0
227,Joe InglesORL,SG,68,17.2,4.4,1.5,3.3,43.6,1,2.4,43.5,0.4,0.5,82.4,2.1,3,0.6,0.1,1,0,0
228,Jaxson HayesLAL,C,70,12.5,4.3,1.8,2.5,72,0,0.1,0,0.7,1.2,62.2,3,0.5,0.5,0.4,0.6,2,0
229,Caleb HoustanORL,G,59,13.8,4.3,1.4,3.5,38.8,1.2,3.3,37.3,0.4,0.4,80.8,1.4,0.5,0.3,0.1,0.3,0,0
230,Max ChristieLAL,G,67,14.1,4.2,1.5,3.6,42.7,0.6,1.8,35.6,0.5,0.7,78.3,2.1,0.9,0.3,0.3,0.5,0,0
231,Troy Brown Jr.MIN/DET,SF,59,14,4.2,1.4,3.8,37.2,0.8,2.4,33.3,0.5,0.6,86.5,2.4,1,0.4,0.1,0.5,0,0
232,Jae'Sean TateHOU,SF,65,15.9,4.1,1.7,3.5,47.2,0.4,1.2,29.9,0.4,0.6,66.7,3,1,0.6,0.2,0.6,0,0
233,Justin HolidayDEN,SF,58,14.9,4,1.5,3.3,45.4,0.9,2.3,40.4,0.1,0.1,75,1.2,1.2,0.6,0.2,0.2,0,0
234,Jaylin WilliamsOKC,F,69,13,4,1.4,3.3,41.7,0.8,2.1,36.8,0.5,0.6,80.5,3.4,1.6,0.4,0.4,0.5,0,0
235,Chris DuarteSAC,SG,59,12.2,3.9,1.4,3.6,38.1,0.7,2.2,34.6,0.4,0.6,78.8,1.8,0.7,0.5,0.1,0.4,0,0
236,KJ MartinLAC/PHI,F,60,12.4,3.7,1.6,3,53.6,0.1,0.5,28.6,0.4,0.7,53.7,2.2,0.9,0.4,0.2,0.5,1,0
237,Dwight PowellDAL,C,63,13.3,3.3,1.1,1.7,67.9,0,0,33.3,1,1.4,70.8,3.4,1.3,0.4,0.3,0.5,1,0
238,Zeke NnajiDEN,PF,58,9.9,3.2,1.2,2.6,46.3,0.1,0.4,26.1,0.7,1.1,67.7,2.2,0.6,0.3,0.7,0.5,0,0
239,JT ThorCHA,F,63,12.4,3.2,1.3,2.9,43.7,0.4,1.3,34.6,0.2,0.3,55,2.3,0.5,0.2,0.4,0.2,0,0
240,Dalen TerryCHI,F,59,11.5,3.1,1.2,2.7,43.9,0.3,1.3,23,0.4,0.7,58.1,1.9,1.4,0.5,0.3,0.5,0,0
